_group_key,input_reactants,input_reagents,product_1_canonical_smiles,product_2_canonical_smiles,input_boronic_acid,input_sulfonamide,input_base,input_catalyst,input_solvent,_group_key_sampled,_subset_file,_subset_order,umap_x,umap_y
CCOC(=O)c1ccccc1S(N)(=O)=O,COc1ccc(B(O)O)cc1.CCOC(=O)c1ccccc1S(N)(=O)=O,O=C([O-])[O-].[K+].CC(=O)[O-].[Cu+2].CC#N,CCOC(=O)c1ccccc1S(=O)(=O)Nc1ccc(OC)cc1,CCOC(=O)c1ccccc1S(=O)(=O)N(c1ccc(OC)cc1)c1ccc(OC)cc1,COc1ccc(B(O)O)cc1,CCOC(=O)c1ccccc1S(N)(=O)=O,O=C([O-])[O-].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Cu+2],CC#N,CCOC(=O)c1ccccc1S(N)(=O)=O.COc1ccc(B(O)O)cc1,train_rows_10.csv,0,-11.980139,-13.524244
NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,CCN(CC)CC.O=S(=O)([O-])C(F)(F)F.[Cu+2].CC#N,COc1ccc(NS(=O)(=O)c2cc(Cl)c(F)cc2Cl)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)c2cc(Cl)c(F)cc2Cl)cc1,COc1ccc(B(O)O)cc1,NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,CCN(CC)CC,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CC#N,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,train_rows_10.csv,0,-5.734947,8.997133
NS(=O)(=O)c1cccc(F)n1,OB(O)c1ccc(C(F)(F)F)cc1.NS(=O)(=O)c1cccc(F)n1,CN(C)c1ccncc1.O=S(=O)([O-])C(F)(F)F.[Cu+2].CO,O=S(=O)(Nc1ccc(C(F)(F)F)cc1)c1cccc(F)n1,O=S(=O)(c1cccc(F)n1)N(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,OB(O)c1ccc(C(F)(F)F)cc1,NS(=O)(=O)c1cccc(F)n1,CN(C)c1ccncc1,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CO,NS(=O)(=O)c1cccc(F)n1.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_10.csv,0,25.677889,7.877906
NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1cccc(F)n1,CN(C)CCN(C)C.[Cl-].[Cu+2].[OH-].CCOC(C)=O,COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)c2cccc(F)n2)cc1,COc1ccc(B(O)O)cc1,NS(=O)(=O)c1cccc(F)n1,,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CCOC(C)=O,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1cccc(F)n1,train_rows_10.csv,0,9.564201,5.441032
NS(=O)(=O)CCc1ccccc1,COc1ccc(B(O)O)cc1.NS(=O)(=O)CCc1ccccc1,O=C([O-])[O-].[K+].CC#N.F[P-](F)(F)(F)(F)F.[Cu+].CO,COc1ccc(NS(=O)(=O)CCc2ccccc2)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)CCc2ccccc2)cc1,COc1ccc(B(O)O)cc1,NS(=O)(=O)CCc1ccccc1,O=C([O-])[O-].[K+].[K+],CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CO,COc1ccc(B(O)O)cc1.NS(=O)(=O)CCc1ccccc1,train_rows_10.csv,0,-30.063316,8.894549
COCCOc1ccccc1S(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1.COCCOc1ccccc1S(N)(=O)=O,O=C([O-])[O-].[K+].O=S(=O)([O-])C(F)(F)F.[Cu+2].ClCCCl,COCCOc1ccccc1S(=O)(=O)Nc1ccc(C(F)(F)F)cc1,COCCOc1ccccc1S(=O)(=O)N(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,OB(O)c1ccc(C(F)(F)F)cc1,COCCOc1ccccc1S(N)(=O)=O,O=C([O-])[O-].[K+].[K+],O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],ClCCCl,COCCOc1ccccc1S(N)(=O)=O.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_10.csv,0,21.095463,1.9497324
COC(=O)c1oc(S(N)(=O)=O)cc1C,COc1ccc(B(O)O)cc1.COC(=O)c1oc(S(N)(=O)=O)cc1C,O=P([O-])([O-])[O-].[K+].CC(=O)[O-].[Cu+2].CC#N,COC(=O)c1oc(S(=O)(=O)Nc2ccc(OC)cc2)cc1C,COC(=O)c1oc(S(=O)(=O)N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1C,COc1ccc(B(O)O)cc1,COC(=O)c1oc(S(N)(=O)=O)cc1C,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Cu+2],CC#N,COC(=O)c1oc(S(N)(=O)=O)cc1C.COc1ccc(B(O)O)cc1,train_rows_10.csv,0,-1.0206832,3.5821564
NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,CCN(CC)CC.CC(=O)[O-].[Cu+2].CC#N,COc1ccc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,COc1ccc(B(O)O)cc1,NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,CCN(CC)CC,CC(=O)[O-].CC(=O)[O-].[Cu+2],CC#N,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,train_rows_10.csv,0,-18.411076,-7.261311
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,OB(O)c1ccc(C(F)(F)F)cc1.Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,O=C([O-])[O-].[K+].CC#N.F[P-](F)(F)(F)(F)F.[Cu+].CO,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(=O)(=O)Nc3ccc(C(F)(F)F)cc3)cc2)cc1,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(=O)(=O)N(c3ccc(C(F)(F)F)cc3)c3ccc(C(F)(F)F)cc3)cc2)cc1,OB(O)c1ccc(C(F)(F)F)cc1,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,O=C([O-])[O-].[K+].[K+],CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CO,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_10.csv,0,13.361756,-15.363231
Cc1cc(CS(N)(=O)=O)no1,OB(O)c1ccc(C(F)(F)F)cc1.Cc1cc(CS(N)(=O)=O)no1,Cc1ccncc1.CC(=O)[O-].[Cu+2].ClCCCl,Cc1cc(CS(=O)(=O)Nc2ccc(C(F)(F)F)cc2)no1,Cc1cc(CS(=O)(=O)N(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)no1,OB(O)c1ccc(C(F)(F)F)cc1,Cc1cc(CS(N)(=O)=O)no1,Cc1ccncc1,CC(=O)[O-].CC(=O)[O-].[Cu+2],ClCCCl,Cc1cc(CS(N)(=O)=O)no1.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_10.csv,0,13.075103,13.4461775
N#CCCCS(N)(=O)=O,COc1ccc(B(O)O)cc1.N#CCCCS(N)(=O)=O,CN(C)CCN(C)C.[Cl-].[Cu+2].[OH-].CC#N,COc1ccc(NS(=O)(=O)CCCC#N)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)CCCC#N)cc1,COc1ccc(B(O)O)cc1,N#CCCCS(N)(=O)=O,,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CC#N,COc1ccc(B(O)O)cc1.N#CCCCS(N)(=O)=O,train_rows_50.csv,1,8.803452,24.936932
N#CCCCS(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1.N#CCCCS(N)(=O)=O,CCN(C(C)C)C(C)C.CC#N.F[P-](F)(F)(F)(F)F.[Cu+].ClCCCl,N#CCCCS(=O)(=O)Nc1ccc(C(F)(F)F)cc1,N#CCCCS(=O)(=O)N(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,OB(O)c1ccc(C(F)(F)F)cc1,N#CCCCS(N)(=O)=O,CCN(C(C)C)C(C)C,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],ClCCCl,N#CCCCS(N)(=O)=O.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_50.csv,1,17.390263,25.421167
N#CCCCS(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1.N#CCCCS(N)(=O)=O,CN(C)c1ccncc1.CC(=O)[O-].[Cu+2].ClCCCl,N#CCCCS(=O)(=O)Nc1ccc(C(F)(F)F)cc1,N#CCCCS(=O)(=O)N(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,OB(O)c1ccc(C(F)(F)F)cc1,N#CCCCS(N)(=O)=O,CN(C)c1ccncc1,CC(=O)[O-].CC(=O)[O-].[Cu+2],ClCCCl,N#CCCCS(N)(=O)=O.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_50.csv,1,17.364536,25.47191
N#CCCCS(N)(=O)=O,COc1ccc(B(O)O)cc1.N#CCCCS(N)(=O)=O,O=C([O-])[O-].[K+].CC#N.F[P-](F)(F)(F)(F)F.[Cu+],COc1ccc(NS(=O)(=O)CCCC#N)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)CCCC#N)cc1,COc1ccc(B(O)O)cc1,N#CCCCS(N)(=O)=O,O=C([O-])[O-].[K+].[K+],CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CC#N,COc1ccc(B(O)O)cc1.N#CCCCS(N)(=O)=O,train_rows_50.csv,1,8.7105465,24.959358
CN(C)CCS(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1.CN(C)CCS(N)(=O)=O,CCN(CC)CC.CC#N.F[P-](F)(F)(F)(F)F.[Cu+].ClCCCl,CN(C)CCS(=O)(=O)Nc1ccc(C(F)(F)F)cc1,CN(C)CCS(=O)(=O)N(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,OB(O)c1ccc(C(F)(F)F)cc1,CN(C)CCS(N)(=O)=O,CCN(CC)CC,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],ClCCCl,CN(C)CCS(N)(=O)=O.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_50.csv,1,21.15409,17.357346
CN(C)CCS(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1.CN(C)CCS(N)(=O)=O,CN(C)CCN(C)C.[Cl-].[Cu+2].[OH-].CO,CN(C)CCS(=O)(=O)Nc1ccc(C(F)(F)F)cc1,CN(C)CCS(=O)(=O)N(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,OB(O)c1ccc(C(F)(F)F)cc1,CN(C)CCS(N)(=O)=O,,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CO,CN(C)CCS(N)(=O)=O.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_50.csv,1,21.287338,17.224213
CN(C)CCS(N)(=O)=O,COc1ccc(B(O)O)cc1.CN(C)CCS(N)(=O)=O,CCN(CC)CC.O=S(=O)([O-])C(F)(F)F.[Cu+2].ClCCCl,COc1ccc(NS(=O)(=O)CCN(C)C)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)CCN(C)C)cc1,COc1ccc(B(O)O)cc1,CN(C)CCS(N)(=O)=O,CCN(CC)CC,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],ClCCCl,CN(C)CCS(N)(=O)=O.COc1ccc(B(O)O)cc1,train_rows_50.csv,1,-0.13975692,29.107487
CCOC(=O)c1ccccc1S(N)(=O)=O,COc1ccc(B(O)O)cc1.CCOC(=O)c1ccccc1S(N)(=O)=O,O=C([O-])[O-].[K+].CC(=O)[O-].[Cu+2].CC#N,CCOC(=O)c1ccccc1S(=O)(=O)Nc1ccc(OC)cc1,CCOC(=O)c1ccccc1S(=O)(=O)N(c1ccc(OC)cc1)c1ccc(OC)cc1,COc1ccc(B(O)O)cc1,CCOC(=O)c1ccccc1S(N)(=O)=O,O=C([O-])[O-].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Cu+2],CC#N,CCOC(=O)c1ccccc1S(N)(=O)=O.COc1ccc(B(O)O)cc1,train_rows_50.csv,1,-11.948277,-13.536221
CCOC(=O)c1ccccc1S(N)(=O)=O,COc1ccc(B(O)O)cc1.CCOC(=O)c1ccccc1S(N)(=O)=O,CN(C)c1ccncc1.CN(C)CCN(C)C.[Cl-].[Cu+2].[OH-].ClCCCl,CCOC(=O)c1ccccc1S(=O)(=O)Nc1ccc(OC)cc1,CCOC(=O)c1ccccc1S(=O)(=O)N(c1ccc(OC)cc1)c1ccc(OC)cc1,COc1ccc(B(O)O)cc1,CCOC(=O)c1ccccc1S(N)(=O)=O,CN(C)c1ccncc1,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],ClCCCl,CCOC(=O)c1ccccc1S(N)(=O)=O.COc1ccc(B(O)O)cc1,train_rows_50.csv,1,-11.904887,-13.543205
CCOC(=O)c1ccccc1S(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1.CCOC(=O)c1ccccc1S(N)(=O)=O,CCN(C(C)C)C(C)C.CC(=O)[O-].[Cu+2].ClCCCl,CCOC(=O)c1ccccc1S(=O)(=O)Nc1ccc(C(F)(F)F)cc1,CCOC(=O)c1ccccc1S(=O)(=O)N(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,OB(O)c1ccc(C(F)(F)F)cc1,CCOC(=O)c1ccccc1S(N)(=O)=O,CCN(C(C)C)C(C)C,CC(=O)[O-].CC(=O)[O-].[Cu+2],ClCCCl,CCOC(=O)c1ccccc1S(N)(=O)=O.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_50.csv,1,20.544151,-5.5572467
CCOC(=O)c1ccccc1S(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1.CCOC(=O)c1ccccc1S(N)(=O)=O,CCN(C(C)C)C(C)C.CN(C)CCN(C)C.[Cl-].[Cu+2].[OH-].CCOC(C)=O,CCOC(=O)c1ccccc1S(=O)(=O)Nc1ccc(C(F)(F)F)cc1,CCOC(=O)c1ccccc1S(=O)(=O)N(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,OB(O)c1ccc(C(F)(F)F)cc1,CCOC(=O)c1ccccc1S(N)(=O)=O,CCN(C(C)C)C(C)C,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CCOC(C)=O,CCOC(=O)c1ccccc1S(N)(=O)=O.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_50.csv,1,20.459227,-5.6024547
NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,CCN(CC)CC.O=S(=O)([O-])C(F)(F)F.[Cu+2].CC#N,COc1ccc(NS(=O)(=O)c2cc(Cl)c(F)cc2Cl)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)c2cc(Cl)c(F)cc2Cl)cc1,COc1ccc(B(O)O)cc1,NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,CCN(CC)CC,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CC#N,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,train_rows_50.csv,1,-5.718784,8.9808
NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,O=C([O-])[O-].[K+].CC(=O)[O-].[Cu+2].CO,COc1ccc(NS(=O)(=O)c2cc(Cl)c(F)cc2Cl)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)c2cc(Cl)c(F)cc2Cl)cc1,COc1ccc(B(O)O)cc1,NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,O=C([O-])[O-].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Cu+2],CO,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,train_rows_50.csv,1,-5.8247433,9.086713
COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,COc1ccc(B(O)O)cc1.COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,CCN(CC)CC.O=S(=O)([O-])C(F)(F)F.[Cu+2].CO,COC(=O)c1cc(Br)cc(S(=O)(=O)Nc2ccc(OC)cc2)c1,COC(=O)c1cc(Br)cc(S(=O)(=O)N(c2ccc(OC)cc2)c2ccc(OC)cc2)c1,COc1ccc(B(O)O)cc1,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,CCN(CC)CC,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CO,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1.COc1ccc(B(O)O)cc1,train_rows_50.csv,1,3.3193688,-7.809914
COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,OB(O)c1ccc(C(F)(F)F)cc1.COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,CN(C)c1ccncc1.CN(C)CCN(C)C.[Cl-].[Cu+2].[OH-].CO,COC(=O)c1cc(Br)cc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)c1,COC(=O)c1cc(Br)cc(S(=O)(=O)N(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)c1,OB(O)c1ccc(C(F)(F)F)cc1,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,CN(C)c1ccncc1,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CO,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_50.csv,1,-1.2401829,-18.69503
COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,OB(O)c1ccc(C(F)(F)F)cc1.COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,O=P([O-])([O-])[O-].[K+].CN(C)CCN(C)C.[Cl-].[Cu+2].[OH-].CCOC(C)=O,COC(=O)c1cc(Br)cc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)c1,COC(=O)c1cc(Br)cc(S(=O)(=O)N(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)c1,OB(O)c1ccc(C(F)(F)F)cc1,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CCOC(C)=O,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_50.csv,1,-1.3761737,-18.69385
COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,COc1ccc(B(O)O)cc1.COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,O=S(=O)([O-])C(F)(F)F.[Cu+2].CC#N,COC(=O)c1cc(Br)cc(S(=O)(=O)Nc2ccc(OC)cc2)c1,COC(=O)c1cc(Br)cc(S(=O)(=O)N(c2ccc(OC)cc2)c2ccc(OC)cc2)c1,COc1ccc(B(O)O)cc1,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CC#N,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1.COc1ccc(B(O)O)cc1,train_rows_50.csv,1,3.306924,-7.822361
NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1cccc(F)n1,CCN(C(C)C)C(C)C.CC#N.F[P-](F)(F)(F)(F)F.[Cu+].CO,COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)c2cccc(F)n2)cc1,COc1ccc(B(O)O)cc1,NS(=O)(=O)c1cccc(F)n1,CCN(C(C)C)C(C)C,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CO,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1cccc(F)n1,train_rows_50.csv,1,9.533906,5.471353
NS(=O)(=O)c1cccc(F)n1,OB(O)c1ccc(C(F)(F)F)cc1.NS(=O)(=O)c1cccc(F)n1,CN(C)c1ccncc1.O=S(=O)([O-])C(F)(F)F.[Cu+2].CO,O=S(=O)(Nc1ccc(C(F)(F)F)cc1)c1cccc(F)n1,O=S(=O)(c1cccc(F)n1)N(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,OB(O)c1ccc(C(F)(F)F)cc1,NS(=O)(=O)c1cccc(F)n1,CN(C)c1ccncc1,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CO,NS(=O)(=O)c1cccc(F)n1.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_50.csv,1,25.662746,7.8937044
NS(=O)(=O)c1cccc(F)n1,OB(O)c1ccc(C(F)(F)F)cc1.NS(=O)(=O)c1cccc(F)n1,O=C([O-])[O-].[K+].CN(C)CCN(C)C.[Cl-].[Cu+2].[OH-].CC#N,O=S(=O)(Nc1ccc(C(F)(F)F)cc1)c1cccc(F)n1,O=S(=O)(c1cccc(F)n1)N(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,OB(O)c1ccc(C(F)(F)F)cc1,NS(=O)(=O)c1cccc(F)n1,O=C([O-])[O-].[K+].[K+],CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CC#N,NS(=O)(=O)c1cccc(F)n1.OB(O)c1ccc(C(F)(F)F)cc1,train_rows_50.csv,1,25.610014,7.9463387
NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1cccc(F)n1,CN(C)CCN(C)C.[Cl-].[Cu+2].[OH-].CCOC(C)=O,COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)c2cccc(F)n2)cc1,COc1ccc(B(O)O)cc1,NS(=O)(=O)c1cccc(F)n1,,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CCOC(C)=O,COc1ccc(B(O)O)cc1.NS(=O)(=O)c1cccc(F)n1,train_rows_50.csv,1,9.56116,5.444059
CCOc1ccc(S(N)(=O)=O)cc1OCC,COc1ccc(B(O)O)cc1.CCOc1ccc(S(N)(=O)=O)cc1OCC,CN(C)c1ccncc1.O=S(=O)([O-])C(F)(F)F.[Cu+2].CC#N,CCOc1ccc(S(=O)(=O)Nc2ccc(OC)cc2)cc1OCC,CCOc1ccc(S(=O)(=O)N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1OCC,COc1ccc(B(O)O)cc1,CCOc1ccc(S(N)(=O)=O)cc1OCC,CN(C)c1ccncc1,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CC#N,CCOc1ccc(S(N)(=O)=O)cc1OCC.COc1ccc(B(O)O)cc1,train_rows_50.csv,1,-20.630955,20.643139
CCOc1ccc(S(N)(=O)=O)cc1OCC,COc1ccc(B(O)O)cc1.CCOc1ccc(S(N)(=O)=O)cc1OCC,O=S(=O)([O-])C(F)(F)F.[Cu+2].CO,CCOc1ccc(S(=O)(=O)Nc2ccc(OC)cc2)cc1OCC,CCOc1ccc(S(=O)(=O)N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1OCC,COc1ccc(B(O)O)cc1,CCOc1ccc(S(N)(=O)=O)cc1OCC,,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CO,CCOc1ccc(S(N)(=O)=O)cc1OCC.COc1ccc(B(O)O)cc1,train_rows_50.csv,1,-20.644087,20.656277
NS(=O)(=O)CCc1ccccc1,COc1ccc(B(O)O)cc1.NS(=O)(=O)CCc1ccccc1,O=C([O-])[O-].[K+].CC#N.F[P-](F)(F)(F)(F)F.[Cu+].CO,COc1ccc(NS(=O)(=O)CCc2ccccc2)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)CCc2ccccc2)cc1,COc1ccc(B(O)O)cc1,NS(=O)(=O)CCc1ccccc1,O=C([O-])[O-].[K+].[K+],CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CO,COc1ccc(B(O)O)cc1.NS(=O)(=O)CCc1ccccc1,train_rows_50.csv,1,-30.045021,8.862923
NS(=O)(=O)CCc1ccccc1,COc1ccc(B(O)O)cc1.NS(=O)(=O)CCc1ccccc1,O=P([O-])([O-])[O-].[K+].CC#N.F[P-](F)(F)(F)(F)F.[Cu+].CO,COc1ccc(NS(=O)(=O)CCc2ccccc2)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)CCc2ccccc2)cc1,COc1ccc(B(O)O)cc1,NS(=O)(=O)CCc1ccccc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CO,COc1ccc(B(O)O)cc1.NS(=O)(=O)CCc1ccccc1,train_rows_50.csv,1,-30.005547,8.829293
COc1cccc2c(S(N)(=O)=O)cccc12,COc1ccc(B(O)O)cc1.COc1cccc2c(S(N)(=O)=O)cccc12,CCN(CC)CC.CN(C)CCN(C)C.[Cl-].[Cu+2].[OH-].CCOC(C)=O,COc1ccc(NS(=O)(=O)c2cccc3c(OC)cccc23)cc1,COc1ccc(N(c2ccc(OC)cc2)S(=O)(=O)c2cccc3c(OC)cccc23)cc1,COc1ccc(B(O)O)cc1,COc1cccc2c(S(N)(=O)=O)cccc12,CCN(CC)CC,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CCOC(C)=O,COc1ccc(B(O)O)cc1.COc1cccc2c(S(N)(=O)=O)cccc12,train_rows_50.csv,1,-19.196583,1.6334429
